,COD_COM,COMUNE,POP,provincia_dom,tot_dose1,tot_dose2,%1Dose,%2Dose
671,017051,Cevo,842,,,,,
672,017078,Ghedi,18444,,,,,
673,013186,Pognana Lario,689,COMO,183.0,73.0,26.560232220609578,10.595065312046444
674,013187,Ponna,233,,,,,
675,013188,Ponte Lambro,4330,,,,,
676,013189,Porlezza,4781,COMO,1061.0,402.0,22.19201003974064,8.408282786028028
677,013192,Proserpio,946,,,,,
678,013034,Bulgarograsso,4013,,,,,
679,013035,Cabiate,7450,,,,,
680,013036,Cadorago,7953,COMO,1724.0,654.0,21.677354457437445,8.223311957751791
681,013037,Caglio,491,,,,,
682,013040,Campione d'Italia,1940,COMO,175.0,142.0,9.02061855670103,7.319587628865979
683,013095,Erba,15974,COMO,4466.0,1840.0,27.957931638913234,11.518717916614499
684,013097,Eupilio,2628,,,,,
685,013098,Faggeto Lario,1153,COMO,294.0,91.0,25.498699045967044,7.8924544666088465
686,015010,Arluno,12224,,,,,
687,015011,Assago,8922,MILANO,2313.0,663.0,25.924680564895763,7.431069266980498
688,012118,Samarate,16057,VARESE,3400.0,1312.0,21.174565610014323,8.170891200099645
689,012119,Saronno,38785,VARESE,9719.0,4092.0,25.058656697176744,10.550470542735594
690,012120,Sesto Calende,11105,,,,,
691,013234,Valsolda,1486,COMO,362.0,120.0,24.3606998654105,8.075370121130552
692,013236,Veleso,199,COMO,43.0,13.0,21.608040201005025,6.532663316582915
693,013238,Veniano,3033,COMO,597.0,206.0,19.683481701285857,6.791955159907682
694,013239,Vercana,752,COMO,191.0,93.0,25.398936170212767,12.367021276595745
695,013242,Vertemate con Minoprio,4147,COMO,887.0,336.0,21.388955871714494,8.102242585001205
696,018071,Gerenzago,1397,PAVIA,249.0,124.0,17.823908375089477,8.876163206871869
697,018072,Giussago,5281,PAVIA,1226.0,449.0,23.215300132550652,8.502177617875402
698,019006,Bonemerse,1457,,,,,
699,019007,Bordolano,573,CREMONA,157.0,49.0,27.399650959860384,8.551483420593367
700,013065,Cernobbio,6588,COMO,1888.0,710.0,28.658166363084394,10.777170613236187
701,013068,Cirimido,2114,,,,,
702,013071,Claino con Osteno,556,COMO,159.0,16.0,28.597122302158272,2.8776978417266186
703,013074,Colonno,493,,,,,
704,013077,Corrido,806,,,,,
705,013207,San Nazzaro Val Cavargna,284,COMO,57.0,10.0,20.070422535211268,3.5211267605633805
706,013099,Faloppio,4696,COMO,920.0,352.0,19.591141396933562,7.4957410562180575
707,017144,Polaveno,2465,BRESCIA,599.0,223.0,24.300202839756594,9.046653144016227
708,017148,Ponte di Legno,1757,BRESCIA,349.0,164.0,19.863403528742175,9.334092202618098
709,013110,Grandate,2818,COMO,757.0,326.0,26.86302342086586,11.56848828956707
710,018068,Gambolò,9789,,,,,
711,013114,Guanzate,5720,,,,,
712,013118,Inverigo,9111,COMO,2128.0,758.0,23.356382394907254,8.319613653825046
713,013121,Lambrugo,2473,COMO,571.0,200.0,23.089365143550342,8.087343307723414
714,013123,Lasnigo,468,COMO,94.0,31.0,20.085470085470085,6.6239316239316235
715,013055,Cassina Rizzardi,3356,COMO,690.0,256.0,20.560190703218115,7.628128724672229
716,013058,Castelmarte,1256,COMO,298.0,115.0,23.726114649681527,9.156050955414013
717,013059,Castelnuovo Bozzente,902,COMO,163.0,55.0,18.070953436807095,6.097560975609756
718,013185,Plesio,826,COMO,208.0,94.0,25.181598062953995,11.380145278450364
719,019005,Bagnolo Cremasco,4870,CREMONA,1234.0,442.0,25.338809034907598,9.075975359342916
720,016196,Sedrina,2508,,,,,
721,013203,Sala Comacina,507,COMO,214.0,131.0,42.209072978303745,25.838264299802763
722,013204,San Bartolomeo Val Cavargna,963,,,,,
723,013254,Centro Valle Intelvi,3521,COMO,1223.0,385.0,34.734450440215845,10.934393638170974
724,013211,Schignano,867,,,,,
725,013212,Senna Comasco,3117,COMO,752.0,256.0,24.12576195059352,8.213025344882901
726,013216,Sorico,1223,,,,,
727,013100,Fenegrò,3203,COMO,570.0,190.0,17.795816422104277,5.931938807368092
728,013101,Figino Serenza,5088,COMO,1192.0,403.0,23.427672955974842,7.92059748427673
729,013102,Fino Mornasco,9779,COMO,2059.0,793.0,21.05532263012578,8.109213621024645
730,019078,Quintano,888,,,,,
731,019079,Ricengo,1757,,,,,
732,019080,Ripalta Arpina,1000,CREMONA,244.0,92.0,24.4,9.2
733,019081,Ripalta Cremasca,3372,CREMONA,946.0,364.0,28.054567022538553,10.794780545670225
734,012121,Solbiate Arno,4056,,,,,
735,012122,Solbiate Olona,5414,VARESE,1212.0,492.0,22.386405615072036,9.087550794237163
736,012035,Caronno Varesino,4849,,,,,
737,012036,Casale Litta,2709,VARESE,519.0,181.0,19.158361018826135,6.681432262827611
738,012037,Casalzuigno,1363,VARESE,310.0,152.0,22.743947175348495,11.1518708730741
739,012039,Casorate Sempione,5681,VARESE,1139.0,466.0,20.049287097342017,8.20278120049287
740,012081,Grantola,1229,VARESE,228.0,88.0,18.55166802278275,7.160292921074044
741,012082,Inarzo,1062,VARESE,246.0,96.0,23.163841807909606,9.03954802259887
742,012084,Ispra,5250,VARESE,1311.0,604.0,24.97142857142857,11.504761904761905
743,012085,Jerago con Orago,5171,VARESE,1114.0,442.0,21.543221813962482,8.547669696383679
744,012065,Dumenza,1460,VARESE,260.0,76.0,17.80821917808219,5.205479452054795
745,012066,Duno,123,,,,,
746,012014,Biandronno,3263,,,,,
747,012049,Cazzago Brabbia,812,VARESE,177.0,63.0,21.798029556650246,7.758620689655173
748,012067,Fagnano Olona,12363,VARESE,2648.0,1026.0,21.418749494459274,8.298956563940791
749,012068,Ferno,6736,,,,,
750,012069,Ferrera di Varese,687,VARESE,107.0,29.0,15.574963609898107,4.2212518195050945
751,012015,Bisuschio,4344,,,,,
752,012016,Bodio Lomnago,2205,VARESE,689.0,333.0,31.24716553287982,15.10204081632653
753,012017,Brebbia,3168,,,,,
754,012018,Bregano,850,VARESE,176.0,68.0,20.705882352941178,8.0
755,012019,Brenta,1718,VARESE,361.0,155.0,21.0128055878929,9.022118742724098
756,012123,Somma Lombardo,17561,VARESE,3720.0,1575.0,21.1833039120779,8.968737543420078
757,012124,Sumirago,6099,,,,,
758,012125,Taino,3638,VARESE,765.0,267.0,21.02803738317757,7.339197361187465
759,013083,Cremia,670,,,,,
760,018142,Santa Margherita di Staffora,474,,,,,
761,019012,Capergnanica,2166,CREMONA,560.0,223.0,25.85410895660203,10.295475530932595
762,019013,Cappella Cantone,546,CREMONA,139.0,46.0,25.457875457875456,8.424908424908425
763,013075,Como,85543,,,,,
764,013106,Garzeno,701,COMO,199.0,94.0,28.38801711840228,13.40941512125535
765,013107,Gera Lario,1037,,,,,
766,013252,Tremezzina,5082,,,,,
767,097092,La Valletta Brianza,4654,,,,,
768,018004,Albuzzano,3585,PAVIA,900.0,421.0,25.10460251046025,11.743375174337517
769,012131,Valganna,1563,,,,,
770,012132,Varano Borghi,2438,,,,,
771,012133,Varese,80724,VARESE,22278.0,9377.0,27.59774044893712,11.616124077102224
772,012134,Vedano Olona,7357,VARESE,1774.0,860.0,24.113089574554845,11.689547369851843
773,013003,Albavilla,6373,COMO,1712.0,658.0,26.86332967205398,10.32480778283383
